epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,85183.1,0.85373,0.83029,1.39691,0.97223,0.96846,0.98018,0.88435,0.57755,0.36363,1.07214,0.000693874,0.000693874,0.000693874
43,87132.5,0.85846,0.8262,1.40253,0.97296,0.97246,0.98131,0.86031,0.65391,0.37807,1.09478,0.000666147,0.000666147,0.000666147
44,89082.5,0.85624,0.83208,1.40166,0.97308,0.97016,0.98077,0.8794,0.58728,0.35615,1.04873,0.000638504,0.000638504,0.000638504
45,91030.7,0.83812,0.80687,1.38907,0.97031,0.97025,0.98101,0.87425,0.59315,0.35293,1.06505,0.00061099,0.00061099,0.00061099
46,92984.4,0.83537,0.80987,1.38499,0.9699,0.97043,0.98119,0.86968,0.58357,0.34751,1.05035,0.000583647,0.000583647,0.000583647
47,94934.2,0.82582,0.79668,1.3795,0.96918,0.97081,0.97649,0.88149,0.54358,0.33613,1.0377,0.000556516,0.000556516,0.000556516
48,96889,0.82296,0.79285,1.3767,0.97305,0.972,0.97942,0.88606,0.53796,0.33434,1.02205,0.00052964,0.00052964,0.00052964
49,98843.7,0.81697,0.78322,1.37254,0.96854,0.97706,0.97877,0.88366,0.53304,0.33254,1.01367,0.00050306,0.00050306,0.00050306
50,100795,0.80374,0.78355,1.36155,0.96615,0.97502,0.98003,0.88135,0.57637,0.34263,1.03624,0.000476817,0.000476817,0.000476817
51,102746,0.81553,0.78067,1.3676,0.97067,0.97955,0.98187,0.88551,0.54342,0.33345,1.01234,0.000450952,0.000450952,0.000450952
52,104695,0.80457,0.77527,1.36545,0.97057,0.97421,0.98006,0.89163,0.51878,0.33454,0.9961,0.000425504,0.000425504,0.000425504
53,106644,0.79922,0.77005,1.35869,0.97247,0.97159,0.97996,0.89366,0.51267,0.32356,0.99942,0.000400513,0.000400513,0.000400513
54,108597,0.79771,0.7676,1.36014,0.97604,0.97364,0.98058,0.88953,0.53389,0.32791,0.99986,0.000376016,0.000376016,0.000376016
55,110551,0.78694,0.76341,1.35411,0.97406,0.97459,0.98225,0.90327,0.53875,0.34065,1.01824,0.000352053,0.000352053,0.000352053
56,112493,0.7844,0.76068,1.34585,0.97534,0.97495,0.98119,0.90703,0.50112,0.32715,0.98551,0.00032866,0.00032866,0.00032866
57,114420,0.78252,0.74977,1.34552,0.97414,0.972,0.98071,0.90442,0.51646,0.32383,0.99349,0.000305872,0.000305872,0.000305872
58,116343,0.77453,0.75213,1.34286,0.97255,0.97535,0.97939,0.89997,0.50307,0.31911,0.98372,0.000283726,0.000283726,0.000283726
59,118268,0.77498,0.73075,1.34508,0.97487,0.97142,0.98035,0.90488,0.48372,0.31401,0.96672,0.000262255,0.000262255,0.000262255
60,120195,0.77421,0.73359,1.34381,0.97295,0.97484,0.98152,0.90836,0.50733,0.31842,0.9878,0.000241492,0.000241492,0.000241492
61,122120,0.75618,0.72298,1.33178,0.97303,0.97307,0.98219,0.91165,0.49722,0.31011,0.97656,0.000221469,0.000221469,0.000221469
62,124042,0.76681,0.72386,1.33656,0.9755,0.97329,0.98116,0.9107,0.48421,0.30821,0.96878,0.000202218,0.000202218,0.000202218
63,125965,0.7603,0.71875,1.33551,0.97591,0.97231,0.98075,0.90421,0.50084,0.31375,0.97404,0.000183768,0.000183768,0.000183768
64,127885,0.7579,0.7109,1.3267,0.97426,0.97526,0.98187,0.90391,0.49372,0.30627,0.96009,0.000166147,0.000166147,0.000166147
65,129808,0.74566,0.70669,1.32438,0.97641,0.97422,0.98228,0.91097,0.47897,0.30383,0.95677,0.000149383,0.000149383,0.000149383
66,131729,0.74599,0.70809,1.31997,0.97608,0.97526,0.98241,0.90724,0.51343,0.30705,0.98261,0.000133501,0.000133501,0.000133501
67,133647,0.74045,0.70114,1.31879,0.97428,0.97235,0.98237,0.91276,0.48745,0.30287,0.96429,0.000118526,0.000118526,0.000118526
68,135561,0.74412,0.6993,1.31831,0.97371,0.97411,0.98184,0.90386,0.50675,0.30781,0.96978,0.000104481,0.000104481,0.000104481
69,137480,0.74371,0.70597,1.31941,0.97508,0.97725,0.98208,0.91454,0.47765,0.30413,0.95529,9.13871e-05,9.13871e-05,9.13871e-05
70,139398,0.74599,0.69828,1.32082,0.9756,0.97526,0.98202,0.9143,0.47523,0.30519,0.9514,7.92654e-05,7.92654e-05,7.92654e-05
71,141265,0.43112,0.2881,1.20172,0.97342,0.97673,0.97897,0.90487,0.45821,0.32275,0.94924,6.81342e-05,6.81342e-05,6.81342e-05
72,143135,0.41922,0.25673,1.18544,0.97435,0.97738,0.97997,0.91085,0.44534,0.31001,0.93841,5.80107e-05,5.80107e-05,5.80107e-05
73,145001,0.40374,0.25028,1.17463,0.97598,0.97576,0.98131,0.91254,0.44561,0.30523,0.93755,4.89104e-05,4.89104e-05,4.89104e-05
74,146870,0.40785,0.24517,1.17397,0.97694,0.97572,0.98177,0.91314,0.44725,0.30079,0.93474,4.08475e-05,4.08475e-05,4.08475e-05
75,148737,0.4026,0.24595,1.17343,0.97331,0.97913,0.9821,0.90979,0.45712,0.29815,0.93718,3.38343e-05,3.38343e-05,3.38343e-05
76,150581,0.39593,0.24105,1.16702,0.975,0.97391,0.9827,0.91038,0.45325,0.29683,0.93196,2.78816e-05,2.78816e-05,2.78816e-05
77,152439,0.39702,0.2412,1.168,0.97677,0.97492,0.98308,0.91787,0.44272,0.29229,0.9277,2.29987e-05,2.29987e-05,2.29987e-05
78,154297,0.39279,0.23661,1.16532,0.97574,0.97664,0.98331,0.91322,0.45371,0.29596,0.93451,1.91931e-05,1.91931e-05,1.91931e-05
79,156150,0.38759,0.23855,1.16478,0.97648,0.97723,0.98356,0.91574,0.44736,0.29599,0.92885,1.64705e-05,1.64705e-05,1.64705e-05
80,157989,0.38942,0.23555,1.16163,0.97555,0.97653,0.98349,0.91806,0.43979,0.29262,0.92549,1.48353e-05,1.48353e-05,1.48353e-05
